granule_uid,obs_id,period,mass,star_spec_type,detection_type,semi_major_axis,radius
WASP-65 b,931,2.3114243,1.55,G6,Primary Transit,0.0334,1.112
WASP-66 b,932,4.086052,2.32,F4,Primary Transit,0.0546,1.39
WASP-67 b,933,4.61442,0.42,K0V,Primary Transit,0.0517,1.4
WASP-69 b,935,3.8681382,0.26,K5,Primary Transit,0.04525,1.057
WASP-7 b,461,4.9546416,0.96,F5V,Primary Transit,0.0617,1.33
WASP-70 A b,936,3.7130203,0.59,G4,Primary Transit,0.04853,1.164
WASP-71 b,1225,2.9036747,2.258,F8,Primary Transit,0.04631,1.5
WASP-74 b,2389,2.13775138,0.826,F9,Primary Transit,0.03443,1.248
WASP-75 b,1325,2.484193,1.07,F9,Primary Transit,0.0375,1.27
WASP-76 b,1420,1.809886,0.92,F7,Primary Transit,0.033,1.83
WASP-78 b,1132,2.17517656,0.89,F8,Primary Transit,0.0415,1.7
WASP-79 b,1133,3.6623817,0.9,F3,Primary Transit,0.0539,1.7
WASP-8 b,462,8.158715,2.244,G6,Primary Transit,0.0801,1.038
WASP-80 b,1250,3.0678504,0.554,K7V,Primary Transit,0.0346,0.952
WASP-81 b,4085,2.7164762,0.729,G1,Primary Transit,0.03908,1.429
WASP-82 b,1422,2.705782,1.24,F5,Primary Transit,0.0447,1.67
WASP-83 b,2390,4.071252,0.3,G8,Primary Transit,0.059,1.04
WASP-84 b,1430,8.5234865,0.694,K0,Primary Transit,0.0771,0.942
WASP-87 A b,2320,1.682795,2.21,F5,Primary Transit,0.02946,1.385
WASP-90 b,1421,3.916243,0.63,F6,Primary Transit,0.0562,1.63
WASP-92 b,3992,2.1746742,0.805,F7,Primary Transit,0.0348,1.461
WASP-93 b,4019,2.7325321,1.47,F4,Primary Transit,0.04211,1.597
WD 1145+017 b,2456,0.1875,2.1e-06,WD,Primary Transit,,
WTS-1 b,1207,3.352059,4.01,,Primary Transit,0.047,1.49
WTS-2 b,1415,1.0187074,1.12,K3V,Primary Transit,0.01855,1.3
Wendelstein-1 b,7411,2.663416,0.59,,Primary Transit,0.0282,1.0
Wendelstein-2 b,7412,1.7522239,0.73,,Primary Transit,0.0234,1.0
XO-1 b,329,3.9415128,0.9,G1V,Primary Transit,0.0488,1.184
XO-2N b,399,2.615838,0.62,K0V,Primary Transit,0.0369,0.973
XO-3 b,400,3.1915239,11.79,F5V,Primary Transit,0.0454,1.217
XO-4 b,477,4.12473,1.616,F5V,Primary Transit,0.05485,1.317
XO-5 b,476,4.1877537,1.077,G8V,Primary Transit,0.0487,1.03
XO-6 b,4076,3.7650007,1.9,F5,Primary Transit,0.0815,2.07
XO-7 b,7233,2.8641424,0.709,GOV,Primary Transit,0.04421,1.373
XTE J1807-294 b,6958,0.0278292,14.5,,Pulsar,,
ZTFJ0220+21 b,7962,0.037,14.0,WD,Primary Transit,,0.54
b Cen b,8030,1800000.0,10.9,B3V,Imaging,556.0,
beta Pic b,521,7707.0,11.9,A6V,Imaging,9.93,1.65
beta Pic c,7175,1227.0,8.89,A6V,Radial Velocity,2.68,1.2
eps Eridani b,73,2671.0,0.65,K2 V,Radial Velocity,3.53,
eps Ind A b,6731,16509.0,3.25,K2V,Radial Velocity,11.55,
kappa And b,1226,215000.0,13.0,B9IV,Imaging,100.0,1.2
pi Men b,83,2088.33,12.6,G0V,Radial Velocity,3.308,
pi Men c,6825,6.267852,0.01142,G0V,Primary Transit,0.06702,0.16719
tau Boo A b,7,3.31249,5.84,F7 V,Radial Velocity,0.046,1.06
ups And b,13,4.61711,0.62,F8 V,Radial Velocity,0.059,
ups And c,14,240.937,9.1,F8 V,Radial Velocity,0.861,
